Keuwl Accelerometer Data File
2022-10-24 20-53-43

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.638147,9.253335,3.504220,9.915190,69.303398,93.945099
0.0024213,-0.508866,9.274882,3.518584,9.932916,69.253448,93.140381
0.0048431,-0.468166,9.346705,3.444367,9.972148,69.793861,92.867485
0.0072651,-0.405920,9.380222,3.348603,9.968274,70.371140,92.477875
0.0096537,-0.458590,9.392193,3.288751,9.961901,70.723160,92.795341
0.0120757,-0.475349,9.375434,3.204957,9.919499,71.149696,92.902496
0.0144977,-0.535201,9.368252,3.157075,9.900390,71.404556,93.269707
0.0169197,-0.590266,9.478380,3.245657,10.036055,71.131348,93.563492
0.0192932,-0.590266,9.478380,3.245657,10.036055,71.131348,93.563492
0.0216849,-0.671665,9.334734,3.025400,9.835723,72.085762,94.115524
0.0240227,-0.683635,9.255729,2.994277,9.752003,72.118927,94.224243
0.0264429,-0.690818,9.152783,3.116376,9.693424,71.246712,94.316284
0.0288145,-0.690818,9.152783,3.116376,9.693424,71.246712,94.316284
0.0312347,-0.724335,9.179118,3.030188,9.693446,71.783905,94.511925
0.0336064,-0.724335,9.179118,3.030188,9.693446,71.783905,94.511925
0.0360265,-0.817705,9.255729,2.984700,9.759385,72.191971,95.048737
0.0384460,-0.867981,9.272488,3.015824,9.789158,72.056564,95.347771
0.0408650,-0.908681,9.272488,3.056523,9.805461,71.837296,95.596970
0.0432836,-0.968533,9.284458,3.118770,9.842050,71.525528,95.955421
0.0457018,-0.958957,9.267700,3.164258,9.839837,71.241722,95.907539
0.0481195,-0.973321,9.231788,3.240869,9.832420,70.754868,96.018547
0.0505370,-0.961351,9.188694,3.274386,9.801933,70.484909,95.972740
0.0529540,-0.942198,9.164753,3.305510,9.788096,70.262764,95.869766
0.0553706,-0.927833,9.126448,3.370150,9.772964,69.827713,95.804985
0.0577869,-0.925439,9.152783,3.394091,9.805597,69.748711,95.773560
0.0602029,-0.889528,9.176724,3.449156,9.843790,69.488892,95.536552
0.0626187,-0.939804,9.198271,3.506614,9.888769,69.230721,95.833771
0.0650342,-0.946986,9.157571,3.530555,9.860157,69.018730,95.903984
0.0674495,-0.935016,9.126448,3.559284,9.840467,68.795448,95.849609
0.0698647,-0.894316,9.150389,3.657442,9.894761,68.306938,95.582092
0.0722795,-0.848828,9.169542,3.774753,9.952375,67.710808,95.288818
0.0746942,-0.808128,9.181512,3.808270,9.972771,67.550636,95.030037
0.0771085,-0.784187,9.198271,3.829817,9.994530,67.468498,94.872902
0.0795227,-0.733911,9.224607,3.837000,10.017713,67.479027,94.548882
0.0819372,-0.693212,9.224607,3.832211,10.012980,67.497459,94.297592
0.0843509,-0.645330,9.258123,3.753206,10.010787,67.980865,93.987305
0.0867644,-0.614206,9.253335,3.748418,10.002604,67.991501,93.797539
0.0891779,-0.587871,9.277276,3.702930,10.006255,68.280594,93.625801
0.0915911,-0.530413,9.294035,3.655048,10.000990,68.563576,93.266342
0.0940042,-0.535201,9.310793,3.580831,9.989978,68.995438,93.289841
0.0964172,-0.539989,9.277276,3.540131,9.944444,69.145813,93.331177
0.0988303,-0.532807,9.250941,3.477885,9.897449,69.427521,93.296303
0.1012433,-0.547172,9.274882,3.372544,9.884174,70.049606,93.376251
0.1036561,-0.556748,9.274882,3.286357,9.855636,70.521721,93.435204
0.1060688,-0.561536,9.277276,3.178622,9.822770,71.119385,93.463783
0.1084813,-0.587871,9.272488,3.099617,9.794501,71.550720,93.627670
0.1108939,-0.599842,9.277276,3.039765,9.780993,71.893585,93.699432
0.1133062,-0.614206,9.284458,2.991883,9.773933,72.175140,93.784843
0.1157185,-0.633359,9.255729,2.953577,9.736184,72.340424,93.914581
0.1181306,-0.666877,9.277276,2.900907,9.743092,72.678093,94.111511
0.1205427,-0.712364,9.246153,2.855419,9.703207,72.885880,94.405617
0.1229547,-0.750670,9.231788,2.797961,9.675639,73.191383,94.648697
0.1253672,-0.786582,9.200665,2.735714,9.630944,73.497650,94.886436
0.1277327,-0.798552,9.195877,2.683044,9.612521,73.792328,94.963005
0.1300940,-0.836858,9.210241,2.635162,9.616286,74.095718,95.191734
0.1324571,-0.836858,9.191088,2.596856,9.587497,74.284630,95.202492
0.1348261,-0.844040,9.217424,2.611221,9.617266,74.245628,95.231987
0.1371820,-0.836858,9.229394,2.651921,9.639229,74.030983,95.181015
0.1395468,-0.803340,9.234182,2.685438,9.650236,73.842606,94.972008
0.1419582,-0.836858,9.222212,2.723744,9.652373,73.609413,95.185028
0.1443695,-0.829675,9.236576,2.876966,9.709770,72.764732,95.132820
0.1467808,-0.810522,9.219818,2.958365,9.716682,72.274170,95.024010
0.1491919,-0.800946,9.222212,3.015824,9.735806,71.954857,94.963661
0.1516030,-0.800946,9.210241,3.061311,9.738669,71.678665,94.970085
0.1540141,-0.781793,9.231788,3.130740,9.779501,71.329033,94.840538
0.1564252,-0.788976,9.212635,3.183411,9.779019,71.002022,94.894905
0.1588368,-0.760247,9.200665,3.250445,9.787523,70.603661,94.723595
0.1612477,-0.753064,9.207847,3.293539,9.808106,70.378952,94.675529
0.1636585,-0.757852,9.219818,3.365362,9.844036,70.009270,94.699043
0.1660696,-0.724335,9.215029,3.422820,9.856831,69.680573,94.494415
0.1684804,-0.721941,9.210241,3.461126,9.865553,69.461945,94.481941
0.1708912,-0.702788,9.231788,3.516190,9.903707,69.204239,94.353355
0.1733019,-0.717153,9.224607,3.537737,9.905719,69.075287,94.445427
0.1757126,-0.714759,9.236576,3.556890,9.923542,68.996223,94.424927
0.1781233,-0.719547,9.205453,3.595196,9.908761,68.725906,94.469452
0.1805339,-0.721941,9.212635,3.628713,9.927810,68.561035,94.480782
0.1829446,-0.707576,9.219818,3.619137,9.929948,68.625229,94.388573
0.1853553,-0.748276,9.200665,3.647866,9.925678,68.437370,94.649544
0.1877659,-0.741094,9.181512,3.652654,9.909150,68.369820,94.614677
0.1901765,-0.796158,9.179118,3.664624,9.915622,68.310226,94.957191
0.1925870,-0.796158,9.179118,3.693354,9.926275,68.156136,94.957191
0.1949976,-0.827281,9.152783,3.686171,9.901803,68.144150,95.164688
0.1974082,-0.841646,9.143206,3.640683,9.877305,68.371269,95.259338
0.1998187,-0.832069,9.114477,3.619137,9.841960,68.424606,95.216125
0.2022293,-0.870375,9.119266,3.602378,9.843560,68.533150,95.451996
0.2046398,-0.918257,9.114477,3.583225,9.836482,68.636772,95.752968
0.2070502,-0.927833,9.095325,3.513796,9.794518,68.976471,95.824715
0.2094607,-0.951774,9.090536,3.461126,9.773593,69.259842,95.977058
0.2118711,-0.978109,9.104901,3.394091,9.766053,69.663094,96.131584
0.2142817,-0.999656,9.097719,3.336633,9.741711,69.970131,96.270500
0.2166922,-0.992474,9.092930,3.286357,9.719389,70.237389,96.229057
0.2191027,-0.987686,9.100113,3.255234,9.715149,70.423340,96.194382
0.2215132,-0.985292,9.116871,3.233687,9.723418,70.575356,96.168213
0.2239235,-0.927833,9.143206,3.195381,9.729828,70.827652,95.794418
0.2263344,-0.935016,9.157571,3.224110,9.753473,70.697220,95.829872
0.2287447,-0.911075,9.171936,3.181016,9.750556,70.959312,95.672745
0.2311550,-0.887134,9.188694,3.190593,9.767241,70.933662,95.514603
0.2335653,-0.865587,9.193483,3.183411,9.767470,70.978699,95.378670
0.2359756,-0.851222,9.203059,3.181016,9.774444,71.007637,95.284447
0.2383858,-0.841646,9.215029,3.181016,9.784885,71.028679,95.218575
0.2407960,-0.832069,9.212635,3.142711,9.769423,71.234932,95.160851
0.2432061,-0.841646,9.203059,3.133134,9.758135,71.271797,95.225327
0.2456165,-0.832069,9.191088,3.147499,9.750650,71.167725,95.172890
0.2480265,-0.834463,9.179118,3.171440,9.747336,71.012321,95.194420
0.2504367,-0.870375,9.162359,3.169046,9.733922,71.000053,95.426506
0.2528467,-0.896710,9.136024,3.233687,9.732820,70.594872,95.605682
0.2552568,-0.906286,9.138418,3.281569,9.751961,70.336014,95.663689
0.2576669,-0.911075,9.140812,3.367756,9.783980,69.866348,95.691933
0.2600443,-0.870375,9.126448,3.456338,9.797749,69.343254,95.447731
0.2624050,-0.865587,9.131236,3.564072,9.840291,68.765137,95.415115
0.2647702,-0.836858,9.121660,3.662230,9.864936,68.208069,95.241867
0.2671311,-0.851222,9.114477,3.717295,9.880109,67.899010,95.335510
0.2694929,-0.860799,9.088142,3.746024,9.867522,67.689133,95.410721
0.2719029,-0.930228,9.047443,3.748418,9.837286,67.601768,95.870331
0.2742183,-0.951774,9.071383,3.705324,9.845065,67.891380,95.989586
0.2765809,-0.990080,9.066595,3.650260,9.823838,68.187424,96.232056
0.2789450,-1.011627,9.049837,3.602378,9.792858,68.416443,96.378273
0.2813074,-1.035568,9.037866,3.547314,9.764162,68.697044,96.536507
0.2836713,-1.037962,9.011531,3.520978,9.730485,68.786133,96.570457
0.2860343,-1.057115,8.982802,3.494643,9.696430,68.874924,96.711815
0.2884009,-1.047538,8.973225,3.456338,9.672765,69.063889,96.658592
0.2907621,-1.042750,8.989985,3.449156,9.685238,69.137589,96.616180
0.2931242,-1.042750,9.004349,3.444367,9.696870,69.194046,96.605721
0.2954871,-1.028386,9.018713,3.504220,9.730073,68.891006,96.505226
0.2978522,-0.990080,9.071383,3.583225,9.803558,68.561485,96.228790
0.3002127,-0.915863,9.097719,3.631107,9.838305,68.341202,95.748573
0.3025746,-0.913469,9.128842,3.700536,9.892632,68.033165,95.714226
0.3049352,-0.832069,9.171936,3.786723,9.957711,67.648941,95.183632
0.3072989,-0.784187,9.212635,3.884881,10.028953,67.209259,94.865341
0.3096620,-0.741094,9.229394,3.983040,10.079461,66.723801,94.590836
0.3120242,-0.695606,9.238970,4.040498,10.107821,66.438095,94.305702
0.3143861,-0.604630,9.246153,4.105138,10.134548,66.104874,93.741394
0.3167515,-0.542383,9.260517,4.198508,10.182281,65.648415,93.351952
0.3191164,-0.523231,9.260517,4.327789,10.235268,64.986542,93.233841
0.3214726,-0.528019,9.238970,4.440312,10.264197,64.367195,93.270966
0.3238381,-0.523231,9.210241,4.502559,10.265249,63.984043,93.251457
0.3262003,-0.525625,9.203059,4.514529,10.264188,63.906769,93.268845
0.3285649,-0.575901,9.179118,4.516923,10.246486,63.843369,93.590050
0.3309312,-0.597448,9.140812,4.526500,10.217661,63.704075,93.739563
0.3332912,-0.587871,9.133630,4.516923,10.206438,63.732903,93.682671
0.3356494,-0.628571,9.114477,4.485800,10.177976,63.849152,93.945099
0.3380110,-0.626177,9.100113,4.433130,10.141834,64.080162,93.936302
0.3403727,-0.614206,9.090536,4.402006,10.118931,64.212997,93.865341
0.3427359,-0.408314,9.009137,4.382854,10.026998,64.080666,92.594994
0.3450960,-0.173692,8.932526,4.356519,9.939791,64.005119,91.113968
0.3474606,-0.130598,8.889432,4.267937,9.861762,64.356125,90.841698
0.3498251,0.187817,8.681145,4.172173,9.633513,64.336220,88.760597
0.3521852,0.594813,8.568624,4.081197,9.509537,64.585175,86.029030
