Keuwl Accelerometer Data File
2022-10-21 17-01-09

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-2.212244,9.748846,-0.209055,9.998886,91.198021,102.785248
0.0024900,-2.293691,9.760824,-0.206660,10.028830,91.180756,103.223976
0.0049800,-2.461376,9.748846,-0.146773,10.055840,90.836304,104.169830
0.0074701,-2.653016,9.782384,-0.127608,10.136559,90.721313,105.173820
0.0099601,-2.734463,9.794361,-0.201869,10.170917,91.137260,105.599068
0.0124501,-2.777582,9.775197,-0.283316,10.166105,91.596962,105.862282
0.0149401,-2.811119,9.763220,-0.261757,10.163237,91.475830,106.062668
0.0174302,-2.789560,9.696145,-0.295294,10.093764,91.676430,106.050407
0.0199202,-2.751231,9.643444,-0.369554,10.035031,92.110474,105.923210
0.0224102,-2.679367,9.569184,-0.364763,9.943910,92.102196,105.642220
0.0249002,-2.669785,9.497319,-0.410277,9.873963,92.381409,105.701164
0.0273903,-2.700926,9.487737,-0.448606,9.874887,92.603783,105.890358
0.0298806,-2.703321,9.470968,-0.431837,9.858685,92.510513,105.930466
0.0323706,-2.674576,9.535647,-0.410277,9.912127,92.372231,105.667839
0.0348606,-2.705717,9.530856,-0.345599,9.913505,91.997818,105.848724
0.0373507,-2.722486,9.533252,-0.297689,9.918842,91.719849,105.938171
0.0398407,-2.729672,9.540438,-0.271338,9.926968,91.566284,105.966675
0.0423307,-2.741649,9.511692,-0.235406,9.901734,91.362289,106.079094
0.0448207,-2.815910,9.463782,-0.216242,9.876198,91.254608,106.570160
0.0473108,-2.863820,9.451804,-0.158750,9.877412,90.920898,106.856384
0.0498008,-2.930894,9.437431,-0.127608,9.882891,90.739830,107.252731
0.0522908,-2.969222,9.432640,-0.113236,9.889581,90.656052,107.473045
0.0547808,-2.988386,9.413477,-0.070116,9.876685,90.406754,107.612473
0.0572709,-3.017132,9.415872,-0.024602,9.887484,90.142563,107.767044
0.0597681,-3.041087,9.408686,-0.022207,9.887976,90.128677,107.911934
0.0622581,-3.088997,9.399103,0.020913,9.893709,89.878891,108.193008
0.0647482,-3.117743,9.413477,0.023308,9.916371,89.865326,108.324867
0.0672382,-3.287823,9.250583,0.143083,9.818530,89.165016,109.566132
0.0697282,-3.239913,9.344007,0.212553,9.892051,88.768776,109.123329
0.0722182,-3.259078,9.324843,0.174224,9.879507,88.989540,109.264763
0.0747082,-3.235122,9.320052,0.181411,9.867234,88.946548,109.142616
0.0771983,-3.139302,9.353589,0.140687,9.867352,89.183060,108.553062
0.0796883,-3.024318,9.336821,0.054449,9.814565,89.682129,107.947815
0.0821783,-2.887775,9.377544,0.037681,9.812186,89.779968,107.115990
0.0846683,-2.835074,9.403894,-0.072512,9.822227,90.422989,106.776939
0.0871584,-2.789560,9.396708,-0.192287,9.803914,91.123833,106.534348
0.0896943,-2.727277,9.437431,-0.288107,9.827826,91.679893,106.118507
0.0921843,-2.753627,9.458991,-0.405486,9.859989,92.356918,106.230919
0.0946743,-2.763209,9.423059,-0.525262,9.833883,93.061821,106.343201
0.0971644,-2.892566,9.363171,-0.673783,9.822926,93.933167,107.167496
0.0996544,-2.899753,9.332029,-0.793558,9.804338,94.642563,107.261650
0.1021444,-2.995573,9.327238,-0.915728,9.839176,95.340225,107.805145
0.1046344,-3.005155,9.312865,-0.994780,9.836158,95.804527,107.884293
0.1071245,-2.962035,9.320052,-1.006757,9.831102,95.877693,107.630943
0.1096145,-2.880589,9.396708,-0.949265,9.874058,95.516777,107.043076
0.1121045,-2.741649,9.497319,-0.949265,9.930600,95.485275,106.102165
0.1145945,-2.629061,9.502110,-0.966034,9.906324,95.596199,105.465797
0.1170846,-2.566778,9.506901,-0.891773,9.887607,95.174591,105.109093
0.1195295,-2.470958,9.542833,-0.918123,9.900215,95.321129,104.516960
0.1220195,-2.418257,9.559602,-0.910937,9.902715,95.278023,104.196091
0.1245096,-2.355974,9.571580,-0.805535,9.890128,94.671822,103.828049
0.1269996,-2.327228,9.557206,-0.805535,9.869401,94.681656,103.685471
0.1294896,-2.341601,9.605117,-0.726484,9.913079,94.202713,103.700706
0.1319797,-2.293691,9.617094,-0.666596,9.909282,93.857193,103.414520
0.1344697,-2.336810,9.672191,-0.604313,9.968808,93.475426,103.582428
0.1369598,-2.391906,9.691355,-0.589940,9.999580,93.382210,103.863998
0.1394498,-2.439816,9.696145,-0.554007,10.013734,93.171494,104.123970
0.1419399,-2.430234,9.703332,-0.501306,10.015587,92.869003,104.060699
0.1444300,-2.470958,9.729683,-0.501306,10.051053,92.858871,104.249634
0.1469200,-2.528450,9.710519,-0.451001,10.044433,92.573479,104.594749
0.1494010,-2.581151,9.729683,-0.393509,10.073922,92.238663,104.857552
0.1518911,-2.662598,9.698541,-0.412673,10.065854,92.349632,105.351532
0.1543811,-2.703321,9.681772,-0.376740,10.059155,92.146370,105.600670
0.1568712,-2.715299,9.669795,-0.297689,10.048203,91.697701,105.684853
0.1593612,-2.753627,9.650631,-0.278525,10.039657,91.589729,105.925110
0.1618512,-2.789560,9.648235,-0.146773,10.044482,90.837250,106.125977
0.1643413,-2.768000,9.653027,-0.017415,10.042064,90.099365,106.000214
0.1668314,-2.741649,9.657818,-0.005438,10.039428,90.031036,105.848122
0.1693214,-2.758418,9.705728,0.047263,10.090206,89.731621,105.865425
0.1718114,-2.796746,9.691355,0.102360,10.087349,89.418594,106.097160
0.1743015,-2.746440,9.674586,0.145479,10.057919,89.171242,105.848289
0.1767916,-2.791955,9.636258,0.152665,10.033732,89.128204,106.158119
0.1792976,-2.875798,9.631467,0.008935,10.051639,89.949066,106.624756
0.1817876,-2.933290,9.624281,0.004144,10.061361,89.976402,106.950180
0.1842777,-2.976408,9.605117,-0.048557,10.055826,90.276665,107.217026
0.1867676,-2.995573,9.597930,-0.163541,10.055867,90.931854,107.333458
0.1892577,-3.031505,9.597930,-0.192287,10.067138,91.094444,107.528717
0.1917478,-3.053065,9.561997,-0.290502,10.041782,91.657761,107.707840
0.1942378,-3.062646,9.600326,-0.324039,10.082214,91.841789,107.693451
0.1967279,-3.012341,9.612303,-0.355181,10.079519,92.019402,107.400154
0.1992179,-2.990782,9.595534,-0.343204,10.056682,91.955711,107.311462
