Keuwl Accelerometer Data File
2022-10-21 16-09-06

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,3.819625,9.082897,-0.388718,9.861017,92.259163,67.191818
0.0024919,3.697454,9.049360,-0.441419,9.785547,92.585449,67.775696
0.0049854,3.599239,9.104457,-0.518075,9.803778,93.029175,68.429771
0.0074772,3.520188,9.190695,-0.556403,9.857493,93.235764,69.042336
0.0099692,3.484255,9.241000,-0.589940,9.893641,93.418472,69.341400
0.0124610,3.496233,9.202673,-0.613895,9.863554,93.568321,69.197472
0.0149529,3.496233,9.137994,-0.613895,9.803236,93.590309,69.062950
0.0174448,3.520188,9.099666,-0.659410,9.779083,93.866425,68.851135
0.0199367,3.548934,9.082897,-0.635454,9.772295,93.728355,68.658066
0.0224285,3.620799,9.058943,-0.635454,9.776423,93.726776,68.213745
0.0249205,3.699850,9.025406,-0.585149,9.771860,93.432983,67.709450
0.0274123,3.757342,9.025406,-0.589940,9.794060,93.453270,67.397682
0.0299042,3.771715,9.051756,-0.577963,9.823144,93.373047,67.379326
0.0323961,3.752551,9.003846,-0.568380,9.771077,93.334763,67.374992
0.0349017,3.728596,8.972705,-0.589940,9.734469,93.474434,67.434738
0.0373935,3.740573,8.987078,-0.623477,9.754393,93.664703,67.402100
0.0398854,3.719014,8.996659,-0.642641,9.756226,93.776794,67.540916
0.0423773,3.723805,8.941563,-0.587545,9.703787,93.471268,67.390213
0.0448692,3.656731,8.953541,-0.585149,9.689168,93.462318,67.784325
0.0473610,3.678291,8.896049,-0.599522,9.645150,93.563683,67.536148
0.0498530,3.637567,8.879280,-0.587545,9.613465,93.503922,67.722603
0.0523448,3.606426,8.910421,-0.585149,9.630384,93.483475,67.964729
0.0548367,3.632776,8.891257,-0.539635,9.619913,93.215729,67.776131
0.0573286,3.680686,8.917608,-0.460583,9.658329,92.733337,67.571922
0.0598204,3.675895,8.948750,-0.415069,9.683212,92.456718,67.668518
0.0623123,3.730992,9.027801,-0.338412,9.774252,91.984138,67.545769
0.0648617,3.790879,9.238605,-0.256965,9.989425,91.474022,67.690170
