Keuwl Accelerometer Data File
2022-10-21 15-53-25

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,2.626666,9.605117,-0.391113,9.965471,92.249260,74.705528
0.0024918,2.629061,9.648235,-0.525262,10.013806,93.006760,74.757462
0.0049836,2.607502,9.645840,-0.642641,10.012706,93.679916,74.873123
0.0074754,2.571569,9.676982,-0.731274,10.039508,94.177109,75.118118
0.0099672,2.571569,9.655422,-0.798348,10.023847,94.568153,75.086365
0.0124590,2.550010,9.669795,-0.918123,10.042432,95.245560,75.226921
0.0149507,2.564383,9.653027,-0.922915,10.030392,95.279358,75.122665
0.0174426,2.569174,9.631467,-0.992384,10.017516,95.685326,75.064232
0.0199343,2.578756,9.633862,-0.975616,10.020635,95.587204,75.014595
0.0224261,2.662599,9.662608,-0.954056,10.068051,95.437546,74.594086
0.0249191,2.674576,9.672191,-0.922915,10.077519,95.254601,74.542694
0.0274109,2.650621,9.674586,-0.886982,10.070261,95.053123,74.678215
0.0299027,2.650621,9.662608,-0.927706,10.062426,95.289894,74.660118
0.0323945,2.667389,9.636258,-0.910937,10.040031,95.205635,74.527504
0.0348863,2.700927,9.641049,-0.934892,10.055788,95.334526,74.349861
0.0373781,2.631457,9.662608,-0.942078,10.058731,95.374069,74.765854
0.0398699,2.650621,9.655422,-0.908542,10.053777,95.184792,74.649239
0.0423617,2.667389,9.614698,-0.846259,10.013668,94.847870,74.494484
0.0448535,2.636248,9.614698,-0.748043,9.997590,94.291016,74.666939
0.0473453,2.636248,9.617094,-0.652223,9.993182,93.742172,74.670578
0.0498371,2.636248,9.621885,-0.494120,9.988726,92.835449,74.677849
0.0523289,2.614688,9.597930,-0.386322,9.955205,92.223984,74.761154
0.0548306,2.597920,9.593139,-0.259361,9.942071,91.494858,74.847168
0.0573224,2.547615,9.600326,-0.192287,9.934464,91.109062,75.138100
0.0598142,2.492518,9.566789,-0.115631,9.886833,90.670113,75.396881
0.0623060,2.533242,9.535647,0.032890,9.866457,89.809006,75.122437
0.0647978,2.516473,9.595534,0.114337,9.920685,89.339645,75.304848
0.0672896,2.514077,9.530856,0.219739,9.859315,88.722916,75.222946
0.0697813,2.504495,9.475760,0.291604,9.805486,88.295837,75.194962
0.0722732,2.482936,9.408686,0.341909,9.736798,87.987633,75.216774
0.0747650,2.466167,9.391917,0.310768,9.715280,88.166939,75.287193
0.0772568,2.451794,9.377544,0.358678,9.699396,87.880753,75.347794
0.0797485,2.511682,9.382335,0.368260,9.719689,87.828659,75.013145
0.0822404,2.590734,9.341612,0.404193,9.702627,87.612480,74.499573
