Keuwl Accelerometer Data File
2022-10-21 16-23-09

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,2.614688,9.157158,-2.015263,9.734034,101.948517,74.064102
0.0024905,2.583547,9.109248,-2.087127,9.695835,102.430794,74.165710
0.0049810,2.609898,9.104457,-2.015263,9.683181,102.012199,74.004440
0.0074716,2.669785,9.226627,-1.952979,9.801660,101.493095,73.861855
0.0099548,2.674576,9.298492,-1.986516,9.877326,101.602394,73.952888
0.0124453,2.676971,9.312865,-2.067964,9.908184,102.046921,73.962769
0.0149358,2.660203,9.327238,-2.082336,9.920191,102.117012,74.081429
0.0174264,2.595525,9.291306,-2.106292,9.874289,102.316437,74.392303
0.0199169,2.550010,9.257769,-2.127851,9.835476,102.494415,74.600029
0.0224074,2.461376,9.281724,-2.156597,9.841732,102.657806,75.147858
0.0248979,2.435026,9.255374,-2.130246,9.804552,102.548805,75.259903
0.0273884,2.430235,9.272142,-2.120665,9.817122,102.475197,75.313103
0.0298790,2.458981,9.274537,-2.005681,9.802366,101.806778,75.150681
0.0323695,2.447004,9.341612,-1.876323,9.837384,100.995621,75.321365
0.0348600,2.406280,9.346402,-1.828413,9.822857,100.727524,75.562439
0.0373505,2.451794,9.336821,-1.773317,9.814896,100.409142,75.286652
0.0398335,2.540428,9.346402,-1.701452,9.833817,99.963486,74.793915
0.0423241,2.518868,9.293701,-1.646356,9.768729,99.702553,74.835457
0.0448146,2.523659,9.293701,-1.569700,9.757340,99.257614,74.807945
0.0473051,2.547615,9.317657,-1.485857,9.773272,98.744743,74.708054
0.0497956,2.576360,9.305679,-1.425969,9.760466,98.400780,74.524773
0.0522861,2.600316,9.293701,-1.322963,9.740880,97.805779,74.368736
0.0547767,2.638644,9.363171,-1.282240,9.812010,97.508926,74.261589
0.0572672,2.595525,9.317657,-1.162464,9.742012,96.853142,74.434303
0.0597577,2.629061,9.305679,-1.073831,9.729375,96.336647,74.223831
0.0622483,2.578756,9.269747,-1.059458,9.679910,96.283562,74.453934
0.0647388,2.633852,9.214650,-0.958847,9.631529,95.713425,74.048309
0.0672293,2.674576,9.243396,-0.872609,9.662048,95.181618,73.862206
0.0697121,2.748837,9.224232,-0.726484,9.652477,94.316391,73.405853
0.0722027,2.806329,9.248187,-0.609104,9.683773,93.606255,73.119774
0.0746932,2.871007,9.264956,-0.537239,9.714458,93.170250,72.782936
0.0771837,2.976409,9.224232,-0.558798,9.708641,93.299583,72.116516
0.0796743,3.036297,9.207463,-0.575567,9.712248,93.397453,71.749268
0.0821648,3.033901,9.166740,-0.592336,9.673911,93.510429,71.687088
0.0846553,3.081811,9.130808,-0.625872,9.657169,93.715889,71.349541
0.0871458,3.065042,9.128412,-0.657014,9.651635,93.903305,71.439522
0.0896363,3.072229,9.137994,-0.760020,9.670530,94.507607,71.417152
0.0921269,3.081811,9.149972,-0.764812,9.685271,94.529160,71.385910
0.0946174,3.072229,9.193090,-0.863027,9.731203,95.088051,71.520943
0.0971079,3.065042,9.181113,-0.937288,9.724497,95.530991,71.538818
0.0996625,3.062647,9.217046,-1.059458,9.770168,96.225281,71.619347
0.1021531,3.029110,9.267351,-1.248703,9.829474,97.298378,71.899597
0.1046436,2.916522,9.332029,-1.397223,9.876493,98.132896,72.644508
0.1071341,2.878194,9.267351,-1.502625,9.819657,98.802109,72.746590
0.1096246,2.799142,9.279328,-1.600841,9.823636,99.378639,73.213882
0.1121152,2.748837,9.262560,-1.655938,9.802716,99.725403,73.470764
0.1146057,2.588338,9.233814,-1.612818,9.724402,99.546776,74.341240
0.1170962,2.691344,9.276933,-1.790086,9.823911,100.498932,73.821953
0.1195867,2.746441,9.303284,-2.084732,9.921700,102.129295,73.552765
