Keuwl Accelerometer Data File
2022-10-21 16-07-54

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,2.533242,9.681772,0.753936,10.036057,85.691727,75.337234
0.0024916,2.533242,9.535647,0.794659,9.898352,85.395226,75.122437
0.0049830,2.557197,9.511692,0.648534,9.870771,86.232819,74.951981
0.0074745,2.468563,9.588348,0.480848,9.912691,87.219582,75.562485
0.0099660,2.351183,9.643444,0.298791,9.930426,88.275803,76.297951
0.0124574,2.286505,9.667399,0.116733,9.934805,89.326767,76.693100
0.0149490,2.267341,9.681772,-0.034184,9.943778,90.196968,76.819626
0.0174405,2.209849,9.703332,-0.098862,9.952279,90.569168,77.170212
0.0199320,2.183498,9.746451,-0.082094,9.988379,90.470917,77.372520
0.0224234,2.133193,9.768010,-0.118027,9.998923,90.676331,77.680840
0.0249149,2.109238,9.777593,-0.161145,10.003808,90.922981,77.826607
0.0274064,2.061328,9.801547,-0.127608,10.016769,90.729942,78.123405
0.0298949,2.023000,9.772801,-0.163541,9.981329,90.938812,78.304779
0.0323864,2.008627,9.806338,-0.144377,10.010979,90.826340,78.424248
0.0348779,1.941553,9.882995,-0.156355,10.073115,90.889381,78.885559
0.0373693,1.874479,9.906949,-0.144377,10.083756,90.820374,79.285805
0.0398608,1.845733,9.899763,-0.158750,10.071606,90.903145,79.438911
0.0423523,1.795427,9.887786,-0.137191,10.050407,90.782127,79.708344
0.0448439,1.706794,9.890181,-0.103653,10.036910,90.591721,80.208649
0.0473353,1.673257,9.885390,0.059241,10.026177,89.661461,80.392853
0.0498268,1.642115,9.906949,0.174224,10.043632,89.006050,80.588570
0.0523183,1.654093,9.847062,0.289209,9.989209,88.340935,80.464569
0.0548098,1.639720,9.866226,0.416170,10.010210,87.617264,80.563957
0.0573013,1.685235,9.911740,0.476057,10.065249,87.289063,80.350616
0.0598150,1.711585,9.933300,0.511990,10.092676,87.092201,80.223488
0.0623066,1.694816,9.868622,0.619788,10.032260,86.458046,80.255203
0.0647981,1.742726,9.823107,0.713212,10.001960,85.910927,79.939781
0.0672895,1.836151,9.847062,0.694048,10.040806,86.036400,79.437538
0.0697810,1.948740,9.871017,0.729981,10.087985,85.850372,78.832260
0.0722725,1.958321,9.808734,0.830591,10.036740,85.253052,78.709305
0.0747640,2.039768,9.739264,0.873711,9.988858,84.982010,78.171082
0.0772555,2.063724,9.676982,0.955158,9.940587,84.486137,77.961388
0.0797470,2.087678,9.626676,0.986299,9.899700,84.282181,77.764084
0.0822385,2.176312,9.648235,1.019836,9.943080,84.112968,77.288765
0.0847299,2.248177,9.590743,1.041396,9.905612,83.965233,76.807426
0.0872215,2.317647,9.585953,1.089306,9.922125,83.697052,76.408127
0.0897031,2.399093,9.631467,1.168357,9.994291,83.286636,76.012886
0.0921946,2.435026,9.629071,1.163566,10.000113,83.318199,75.808411
0.0946861,2.444608,9.573975,1.055768,9.937391,83.901268,75.676216
0.0971776,2.449399,9.564393,1.024627,9.926079,84.075043,75.635521
0.0996691,2.415862,9.566789,1.029418,9.920662,84.043976,75.827629
0.1021606,2.504495,9.530856,0.986299,9.903661,84.284477,75.276817
0.1046521,2.578756,9.509296,0.950366,9.898479,84.490471,74.827286
0.1071436,2.559592,9.516483,0.974321,9.902740,84.353584,74.945763
0.1096351,2.605107,9.442223,0.873711,9.833897,84.902733,74.575836
0.1121266,2.674576,9.432640,0.792264,9.836450,85.380188,74.169594
0.1146180,2.705718,9.447014,0.701235,9.851838,85.918350,74.017769
0.1171095,2.777582,9.389522,0.576669,9.808702,86.629547,73.520874
0.1195733,2.837470,9.382335,0.471267,9.813334,87.247421,73.173271
0.1220647,2.873403,9.317657,0.432938,9.760257,87.457680,72.861153
0.1245562,2.868612,9.284120,0.392215,9.725103,87.688622,72.829872
0.1270477,2.863821,9.284120,0.349096,9.722048,87.942200,72.856865
0.1295392,2.923708,9.171531,0.282022,9.630399,88.321877,72.318718
0.1320307,2.990782,9.147576,0.270045,9.627869,88.392746,71.894943
0.1345222,2.969223,9.145181,0.248485,9.618335,88.519630,72.012619
0.1370136,3.055460,9.166740,0.286813,9.666811,88.299789,71.565727
0.1395051,3.177631,9.308075,0.286813,9.839708,88.329674,71.150902
0.1419967,3.127326,9.432640,0.296395,9.941968,88.291618,71.657425
0.1444882,3.017133,9.367962,0.253276,9.845098,88.525841,72.147850
0.1469796,3.024319,9.197882,0.071218,9.682593,89.578568,71.798820
0.1495170,2.997968,9.092480,-0.134795,9.574924,90.806633,71.751602
0.1520085,2.844656,9.020615,-0.151563,9.459732,90.918030,72.497299
0.1545000,2.708113,9.025406,-0.055744,9.423106,90.338943,73.297897
0.1569915,3.110557,9.087688,0.176620,9.606916,88.946579,71.104820
0.1594830,3.297406,9.054152,0.535945,9.650792,86.816513,69.989021
0.1619745,3.280638,9.034987,0.576669,9.629440,86.566734,70.043854
0.1644660,3.244705,9.066129,0.523968,9.643513,86.885376,70.308060
0.1669575,3.172840,9.011032,0.459289,9.564338,87.247543,70.602516
0.1694490,3.182422,8.970309,0.385029,9.525886,87.683517,70.466698
0.1719405,3.088998,8.920004,0.258067,9.443250,88.434013,70.899025
0.1744320,3.053065,8.891257,0.133501,9.401781,89.186401,71.048637
0.1769234,3.057856,8.917608,0.037681,9.427388,89.770988,71.073112
0.1794108,2.447004,9.252978,0.109546,9.571699,89.344246,75.186913
0.1819023,2.379930,9.509296,0.167038,9.804013,89.023766,75.948982
0.1843939,2.775187,9.276933,0.109546,9.683757,89.351837,73.345490
0.1868853,2.732068,9.145181,0.145479,9.545664,89.126762,73.366798
0.1893768,2.636248,9.291306,0.238903,9.661016,88.583015,74.159622
0.1918683,2.578756,9.363171,-0.000647,9.711794,90.003815,74.601654
0.1943598,2.324833,9.341612,-0.271338,9.630378,91.614540,76.024788
0.1968513,2.051746,9.444618,-0.542030,9.680097,93.209915,77.743523
0.1993428,1.802614,9.717705,-0.757625,9.912477,94.383476,79.491203
0.2018343,1.740331,9.954860,-0.913333,10.147027,95.164177,80.083633
0.2043258,1.716376,10.041098,-0.994780,10.235192,95.577499,80.299889
0.2068173,1.651698,10.053075,-1.049876,10.241810,95.883659,80.669792
0.2092575,1.517550,10.009956,-1.128927,10.187083,96.362556,81.379372
0.2117490,1.412148,10.055470,-1.212770,10.226313,96.810913,82.005905
0.2142405,1.378610,10.091403,-1.248703,10.261395,96.989609,82.220840
0.2167320,1.424125,10.144104,-1.179233,10.311234,96.566940,82.008507
0.2192235,1.433707,10.163268,-1.052271,10.317694,95.853607,81.970413
0.2217150,1.438498,10.163268,-0.903750,10.304274,95.031670,81.943932
0.2242065,1.424125,10.165664,-0.733670,10.291119,94.088173,82.025238
0.2266980,1.469640,10.192014,-0.554007,10.312319,93.079575,81.794777
0.2291895,1.438498,10.208782,-0.388718,10.316957,92.159279,81.979378
0.2316810,1.397774,10.170454,-0.134795,10.266941,90.752258,82.174591
0.2341724,1.345073,10.110567,0.150269,10.200753,89.155930,82.422073
0.2366639,1.342678,10.033911,0.394610,10.131035,87.767731,82.378296
0.2391685,1.392984,10.017142,0.648534,10.134305,86.330910,82.083221
0.2416599,1.400170,9.981210,0.897666,10.118835,84.910469,82.014626
0.2441514,1.500781,9.942882,1.149193,10.120962,83.480240,81.416557
0.2466429,1.570251,9.851853,1.359997,10.068480,82.237061,80.944008
0.2491344,1.670861,9.787174,1.633084,10.062182,80.659622,80.311890
0.2516259,1.807405,9.736869,1.851074,10.074712,79.412628,79.484169
0.2541174,1.869688,9.672191,2.066669,10.065691,78.151871,79.059349
0.2566089,1.967903,9.607512,2.284660,10.069589,76.886124,78.424240
0.2591004,2.039768,9.538042,2.469114,10.061382,75.794228,77.928780
0.2615919,2.070910,9.456595,2.682313,10.045430,74.513092,77.647736
0.2640834,2.188289,9.375149,2.835625,10.036075,73.587952,76.861603
0.2665748,2.257759,9.334425,2.929049,10.040334,73.038544,76.402763
0.2690469,2.399093,9.238605,3.022474,10.012134,72.429375,75.442886
0.2715383,2.528450,9.169135,3.106317,10.005763,71.913483,74.583450
0.2740299,2.583547,9.094875,3.144644,9.963948,71.602829,74.141945
0.2765213,2.688949,9.025406,3.168600,9.936218,71.403954,73.409569
0.2790128,2.799142,9.001451,3.194950,9.953341,71.277031,72.726105
0.2815043,2.892566,9.011032,3.137458,9.970421,71.658707,72.203224
0.2839958,2.945267,8.965518,3.120689,9.939507,71.701462,71.814102
0.2864873,3.045878,8.946354,3.041638,9.928050,72.159508,71.198326
0.2889788,3.081811,8.912817,2.955400,9.882827,72.599808,70.926003
0.2914703,3.175236,8.860116,2.845207,9.832547,73.179985,70.283638
0.2939618,3.223145,8.852929,2.679918,9.795151,74.121620,69.994614
0.2964533,3.278242,8.888862,2.502650,9.799082,75.202927,69.755859
0.2989418,3.283033,8.893653,2.294242,9.753918,76.395859,69.738708
0.3014333,3.330943,8.862512,2.100207,9.697947,77.492821,69.401451
0.3039248,3.357294,8.850534,1.884611,9.651691,78.739952,69.226646
0.3064162,3.366875,8.888862,1.666621,9.650147,80.054916,69.254585
0.3089078,3.335734,8.920004,1.486959,9.638705,81.125565,69.496162
0.3113992,3.309383,8.931981,1.307296,9.614641,82.185326,69.669853
0.3138907,3.314174,8.965518,1.192312,9.632543,82.889717,69.712769
0.3163822,3.309383,8.999055,1.039000,9.644403,83.815475,69.809105
0.3188738,3.352503,9.020615,0.955158,9.670733,84.331779,69.612465
0.3213652,3.369271,8.996659,0.828196,9.642498,85.072784,69.468948
0.3238567,3.345316,8.987078,0.650929,9.611577,86.116760,69.582909
0.3263482,3.314174,9.056547,0.519176,9.657865,86.918472,69.900284
0.3288362,3.280638,9.018219,0.442520,9.606596,87.359779,70.009682
0.3313277,3.263869,9.018219,0.315559,9.595869,88.115494,70.103821
0.3338192,3.235123,9.054152,0.207761,9.617008,88.762108,70.337769
0.3363107,3.177631,9.054152,0.116733,9.596282,89.303017,70.661049
0.3388022,3.139303,9.054152,-0.024602,9.582979,90.147095,70.877281
0.3412937,3.127326,9.106853,-0.050953,9.628994,90.303185,71.047348
0.3437852,3.069834,9.157158,-0.127608,9.658867,90.756989,71.466858
0.3462767,3.021924,9.173926,-0.122818,9.659608,90.728508,71.767937
0.3487681,2.997968,9.200277,-0.189892,9.678273,91.124237,71.951477
0.3512596,2.981200,9.238605,-0.221033,9.710213,91.304337,72.115662
0.3537511,2.866216,9.269747,-0.280921,9.706819,91.658401,72.818336
0.3562426,2.811120,9.288911,-0.233011,9.707757,91.375374,73.162514
0.3587328,2.748837,9.315261,-0.244988,9.715462,91.444939,73.559219
0.3612242,2.653017,9.332029,-0.261757,9.705348,91.545471,74.129997
0.3637157,2.669785,9.351193,-0.206660,9.727038,91.217392,74.065849
0.3662072,2.621875,9.351193,-0.165936,9.713217,90.978867,74.337639
0.3686987,2.554801,9.363171,-0.192287,9.707365,91.135010,74.737999
0.3711902,2.550010,9.375149,-0.125213,9.716565,90.738365,74.783844
0.3736817,2.561987,9.399103,-0.015020,9.742030,90.088341,74.752853
0.3761732,2.545219,9.430245,0.076009,9.767981,89.554153,74.895790
0.3786647,2.497309,9.384730,0.188598,9.713150,88.887436,75.098717
0.3811562,2.523659,9.413477,0.291604,9.750253,88.286179,74.992470
0.3836477,2.566778,9.408686,0.344305,9.758599,87.978058,74.740501
0.3861392,2.528450,9.432640,0.459289,9.776436,87.307297,74.994431
0.3886324,2.499705,9.437431,0.579064,9.780027,86.605598,75.164665
0.3911239,2.470958,9.391917,0.629369,9.731898,86.292046,75.259850
0.3936153,2.473354,9.360776,0.682070,9.706019,85.970337,75.199257
0.3961069,2.526055,9.353589,0.715608,9.715075,85.775795,74.887077
0.3985983,2.523659,9.351193,0.811427,9.719675,85.211205,74.897064
0.4010898,2.545219,9.365566,0.768309,9.735619,85.473663,74.796295
0.4035813,2.518868,9.363171,0.830591,9.731574,85.103836,74.942841
0.4060728,2.573965,9.339216,0.878501,9.727180,84.818321,74.591354
0.4085643,2.540428,9.351193,0.883292,9.730303,84.791664,74.801338
0.4110558,2.545219,9.329634,0.912039,9.713497,84.612335,74.740463
0.4135473,2.547615,9.324843,0.919225,9.710202,84.567909,74.719292
0.4160388,2.540428,9.296097,0.967135,9.685378,84.269173,74.715462
0.4185532,2.557197,9.286515,0.986299,9.682530,84.153496,74.604218
0.4210446,2.583547,9.291306,0.955158,9.690996,84.343666,74.460838
0.4235362,2.569174,9.260164,0.935993,9.655433,84.437035,74.493660
0.4260276,2.602711,9.252978,0.964740,9.660354,84.268555,74.289581
0.4285192,2.641039,9.296097,0.995881,9.715158,84.116394,74.140053
0.4310107,2.597920,9.262560,0.957553,9.667529,84.315628,74.332497
0.4335021,2.631457,9.233814,0.947971,9.648137,84.361343,74.093483
0.4359936,2.653017,9.264956,0.900061,9.679256,84.664436,74.020958
0.4384851,2.638644,9.274537,0.847360,9.679747,84.977928,74.118729
0.4409766,2.686553,9.303284,0.844965,9.720217,85.013069,73.892616
0.4434681,2.645830,9.286515,0.756331,9.685650,85.521339,74.097168
0.4459596,2.607502,9.312865,0.765913,9.701296,85.471809,74.358322
0.4485043,2.588338,9.329634,0.770704,9.712649,85.448761,74.494286
0.4509958,2.511682,9.310470,0.775495,9.674440,85.402283,74.902725
0.4534873,2.466167,9.336821,0.753936,9.686414,85.535904,75.204170
0.4559788,2.423048,9.298492,0.734771,9.637064,85.627281,75.394386
0.4584703,2.396698,9.336821,0.804241,9.673013,85.230766,75.603394
0.4609618,2.327229,9.363171,0.828196,9.683536,85.093719,76.041901
0.4634533,2.262550,9.336821,0.828196,9.642679,85.072876,76.378349
0.4659448,2.212245,9.346402,0.835383,9.640908,85.029099,76.683464
0.4684363,2.212245,9.346402,0.885688,9.645398,84.731400,76.683464
0.4709278,2.202662,9.384730,0.900061,9.681684,84.665779,76.791359
0.4734192,2.226618,9.367962,0.895270,9.670473,84.688080,76.629784
0.4759107,2.229013,9.358380,0.897666,9.661966,84.669128,76.602707
0.4783228,2.219431,9.317657,0.921620,9.622577,84.503967,76.602028
0.4808142,2.250572,9.346402,0.983904,9.663766,84.156380,76.461174
0.4833058,2.250572,9.324843,0.955158,9.640026,84.313660,76.431030
0.4857972,2.262550,9.320052,1.024627,9.645329,83.901939,76.354752
0.4882887,2.243386,9.310470,1.012650,9.630322,83.964066,76.452644
0.4907802,2.296087,9.303284,1.000672,9.634544,84.038338,76.136238
0.4932718,2.303273,9.372753,1.058164,9.709443,83.743309,76.193634
0.4957632,2.293691,9.341612,1.050977,9.676326,83.764618,76.204796
0.4982547,2.291296,9.363171,0.993486,9.690512,84.115616,76.249176
0.5007462,2.322438,9.360776,0.955158,9.691757,84.344116,76.066093
0.5032377,2.274528,9.344007,0.928807,9.661606,84.483421,76.319077
0.5057292,2.233804,9.370358,0.888084,9.673788,84.732651,76.591492
0.5082282,2.200267,9.382335,0.854546,9.674690,84.932571,76.801964
0.5107198,2.214640,9.358380,0.902457,9.659107,84.639000,76.686012
0.5132113,2.159544,9.363171,0.828196,9.644609,85.073868,77.012283
0.5157027,2.166730,9.406290,0.871315,9.691863,84.842049,77.028244
0.5181942,2.171521,9.435036,0.835383,9.717678,85.068466,77.038795
0.5206857,2.142775,9.447014,0.782682,9.718546,85.380692,77.220383
0.5231771,2.140379,9.475760,0.787472,9.746350,85.365639,77.271667
0.5256687,2.116425,9.461387,0.732376,9.722833,85.680084,77.391037
0.5281602,2.121216,9.470968,0.718003,9.732128,85.769073,77.375786
0.5306517,2.080492,9.521274,0.746749,9.774493,85.618462,77.674042
0.5331432,2.061328,9.569184,0.665302,9.811269,86.111794,77.843498
0.5356346,2.049351,9.547625,0.593437,9.783105,86.522339,77.885559
0.5381042,2.039768,9.530856,0.610205,9.765768,86.417587,77.919945
0.5405957,2.042164,9.540438,0.607810,9.775470,86.435219,77.917961
0.5430872,2.097260,9.542833,0.622183,9.790367,86.356369,77.604965
0.5455787,2.075701,9.569184,0.528759,9.805988,86.908997,77.761284
0.5480702,2.056537,9.600326,0.495221,9.830607,87.112473,77.909096
0.5505617,2.056537,9.626676,0.540736,9.858733,86.855835,77.941223
0.5530533,2.020605,9.593139,0.507199,9.816741,87.038399,78.105644
0.5555447,2.056537,9.588348,0.545527,9.821577,86.815941,77.894440
0.5580362,1.991858,9.609907,0.535945,9.828787,86.874222,78.290039
0.5605277,1.972695,9.612303,0.478453,9.824297,87.208534,78.402451
0.5630191,1.951135,9.650631,0.432938,9.855407,87.482239,78.570183
0.5655106,1.991858,9.636258,0.442520,9.849914,87.425041,78.321182
0.5680006,2.001441,9.657818,0.437730,9.872730,87.458832,78.292023
0.5704921,1.977486,9.691355,0.454498,9.901484,87.369087,78.467323
0.5729836,2.034977,9.708123,0.478453,9.930645,87.238449,78.161301
0.5754750,2.034977,9.710519,0.389820,9.929112,87.749977,78.164139
0.5779665,1.972695,9.748846,0.392215,9.954163,87.741844,78.560570
0.5804580,1.872084,9.736869,0.382633,9.922586,87.790024,79.116692
0.5829493,1.886456,9.741660,0.406588,9.930960,87.653572,79.040421
0.5854409,1.819383,9.775197,0.375446,9.950155,87.837563,79.456619
0.5879323,1.757100,9.803943,0.267649,9.963751,88.460716,79.839111
0.5904238,1.706794,9.803943,0.301186,9.955961,88.266434,80.124207
0.5929152,1.680444,9.832689,0.329932,9.980707,88.105629,80.301636
0.5954067,1.637324,9.894972,0.310768,10.034335,88.225243,80.604385
0.5978951,1.589414,9.938091,0.341909,10.070193,88.054283,80.913544
0.6003866,1.553482,9.933300,0.353887,10.060268,87.984108,81.111435
0.6028780,1.582228,9.928509,0.377842,10.060889,87.847717,80.945366
0.6053695,1.603788,9.940487,0.444916,10.078857,87.469940,80.834938
0.6078610,1.598997,9.928509,0.459289,10.066927,87.385056,80.851013
0.6103525,1.615765,9.909345,0.523968,10.053872,87.012619,80.739151
0.6128439,1.644511,9.914136,0.581460,10.066410,86.688622,80.581795
0.6153354,1.702003,9.942882,0.648534,10.108328,86.321472,80.286369
0.6178269,1.733145,9.935696,0.708421,10.110574,85.982147,80.105103
0.6203183,1.819383,9.904554,0.741958,10.097567,85.786171,79.591286
0.6228098,1.812196,9.914136,0.753936,10.106561,85.721840,79.641312
0.6253012,1.831360,9.928509,0.823405,10.129519,85.337418,79.548996
0.6277913,1.848129,9.930904,0.885688,10.140162,84.989143,79.457924
0.6302828,1.836151,9.930904,0.888084,10.138195,84.974571,79.524727
0.6327742,1.864897,9.878203,0.935993,10.096179,84.680603,79.309013
0.6352657,1.903225,9.904554,0.943180,10.129761,84.657463,79.122826
0.6377572,1.924785,9.942882,0.971926,10.174003,84.518158,79.043961
0.6402486,1.879270,9.945277,0.991090,10.169683,84.407341,79.299500
0.6427401,1.900830,9.962046,0.986299,10.189617,84.445389,79.197403
0.6452316,1.898434,9.983605,0.926412,10.204639,84.791328,79.233452
0.6477231,1.828964,9.959650,0.904852,10.166537,84.893745,79.594284
0.6502145,1.869688,9.997978,0.895270,10.210623,84.969833,79.407654
0.6527060,1.848129,10.002769,0.897666,10.211600,84.956825,79.531982
0.6551974,1.824173,9.990792,0.924016,10.197908,84.801392,79.652603
0.6577005,1.785846,9.964441,0.947971,10.167497,84.650230,79.839218
0.6601920,1.826569,9.983605,0.976717,10.196211,84.503082,79.632011
0.6626834,1.795427,9.952464,0.993486,10.161797,84.389420,79.773811
0.6651749,1.840942,9.986001,1.060560,10.209509,84.037384,79.554672
0.6676664,1.840942,9.997978,1.072537,10.222474,83.977470,79.566910
0.6701578,1.812196,10.007561,1.096492,10.229253,83.846542,79.735954
0.6726493,1.788241,9.986001,1.132424,10.207860,83.630692,79.847382
0.6751408,1.812196,9.930904,1.122843,10.157150,83.653152,79.658424
0.6776322,1.814592,9.942882,1.161170,10.173591,83.446220,79.657257
0.6801237,1.812196,9.906949,1.201894,10.142793,83.194611,79.633965
0.6826152,1.843338,9.916532,1.280946,10.167415,82.762337,79.469742
0.6851066,1.855315,9.906949,1.235431,10.154611,83.011963,79.392845
0.6875991,1.864897,9.976419,1.285736,10.230343,82.780045,79.411873
0.6900906,1.884061,9.947673,1.285736,10.205832,82.762611,79.275375
0.6925821,1.850524,9.909345,1.302505,10.164452,82.637695,79.422119
0.6950736,1.857710,9.926113,1.292923,10.180887,82.704018,79.399506
0.6975650,1.828964,9.945277,1.259386,10.190177,82.900764,79.579575
0.7000565,1.824173,9.978814,1.283341,10.225033,82.789810,79.640450
0.7025480,1.809801,9.971628,1.180334,10.203035,83.356888,79.713081
0.7050394,1.824173,9.974024,1.168357,10.206557,83.426872,79.635582
0.7075309,1.814592,10.012351,1.132424,10.238276,83.649696,79.727486
0.7100224,1.821778,10.029120,1.110865,10.253592,83.780418,79.704544
0.7125139,1.850524,10.048284,1.086910,10.274912,83.927727,79.565147
0.7150053,1.852919,10.050679,1.027022,10.271525,84.261559,79.554375
0.7175126,1.855315,10.043493,0.902457,10.253213,84.950462,79.533852
0.7200041,1.838547,10.019538,0.830591,10.220630,85.338654,79.602119
0.7224956,1.867293,10.036306,0.806637,10.240356,85.482109,79.460419
0.7249870,1.852919,10.031515,0.753936,10.229029,85.773155,79.534859
0.7274785,1.831360,10.029120,0.751540,10.222620,85.783958,79.651566
0.7299699,1.867293,10.012351,0.729981,10.211113,85.900497,79.435768
0.7324614,1.881665,9.959650,0.725190,10.161752,85.907631,79.301277
0.7349529,1.874479,10.019538,0.677279,10.215847,86.198677,79.403458
0.7374443,1.893643,10.038702,0.720398,10.241113,85.966270,79.317574
0.7399358,1.929575,10.012351,0.698839,10.220509,86.079277,79.091721
0.7424272,1.915202,10.026725,0.722794,10.233555,85.949837,79.186203
0.7449187,1.908016,10.033911,0.739563,10.240452,85.858513,79.233368
0.7474517,1.874479,9.986001,0.713212,10.185410,85.984695,79.368683
0.7499432,1.874479,9.986001,0.662907,10.182011,86.267082,79.368683
0.7524347,1.826569,9.986001,0.701235,10.175869,86.048531,79.634445
0.7549261,1.838547,9.911740,0.749144,10.108614,85.749939,79.491539
0.7574176,1.812196,9.902159,0.734771,10.093398,85.825333,79.629059
0.7599090,1.788241,9.926113,0.689257,10.109431,86.090561,79.787415
0.7624005,1.850524,9.930904,0.789868,10.132680,85.529114,79.444565
0.7648920,1.826569,9.899763,0.792264,10.097987,85.500092,79.546135
0.7673835,1.845733,9.880599,0.785077,10.082129,85.533958,79.418884
0.7698749,1.874479,9.854248,0.768309,10.060327,85.620049,79.229843
0.7723665,1.884061,9.890181,0.756331,10.096405,85.703896,79.214493
0.7748578,1.893643,9.861435,0.689257,10.065230,86.073372,79.130089
0.7772650,1.912807,9.899763,0.619788,10.101894,86.482491,79.064217
0.7797565,1.960717,9.873412,0.662907,10.088019,86.232246,78.768013
0.7822479,1.972695,9.849458,0.588646,10.062299,86.646271,78.674393
0.7847394,1.975090,9.887786,0.569482,10.099188,86.767441,78.703812
0.7872308,1.984672,9.871017,0.545527,10.083328,86.898674,78.631653
0.7897223,2.044559,9.892576,0.545527,10.116367,86.908813,78.322739
0.7922138,2.039768,9.871017,0.488035,10.091373,87.228004,78.324608
0.7947053,2.054142,9.847062,0.473662,10.070178,87.304031,78.216820
0.7971967,2.039768,9.837480,0.509595,10.059639,87.096306,78.285904
0.7996882,2.013418,9.837480,0.550318,10.056476,86.863052,78.433128
0.8021797,2.046955,9.813525,0.581460,10.041583,86.680420,78.217888
0.8046712,2.027791,9.808734,0.607810,10.034572,86.527374,78.319603
0.8071920,2.018209,9.813525,0.706025,10.043750,85.969070,78.378815
0.8096835,1.946344,9.765615,0.734771,9.984757,85.779831,78.728317
0.8121750,1.929575,9.734473,0.804241,9.956407,85.366814,78.788116
0.8146664,1.951135,9.744056,0.868919,9.975398,85.002846,78.676926
0.8171579,1.965508,9.710519,0.888084,9.947165,84.877808,78.557350
0.8196493,1.975090,9.660213,0.952762,9.905981,84.480736,78.444778
0.8221408,2.030186,9.648235,0.957553,9.905908,84.452850,78.117149
0.8246323,2.046955,9.653027,0.976717,9.915893,84.347191,78.027596
0.8271238,2.070910,9.648235,1.005463,9.919076,84.182129,77.885765
0.8296152,2.114029,9.643444,1.058164,9.928989,83.882187,77.635254
0.8321066,2.104447,9.633862,1.003067,9.911920,84.191833,77.677719
0.8345982,2.118820,9.619490,1.007859,9.901503,84.157837,77.578194
0.8370638,2.130797,9.638654,1.062955,9.928435,83.854034,77.534233
0.8395553,2.135588,9.621885,1.036605,9.910397,83.996010,77.485992
0.8420467,2.111634,9.595534,1.067746,9.882983,83.797722,77.589073
0.8445382,2.135588,9.595534,1.046186,9.885824,83.925186,77.452713
0.8470297,2.171521,9.605117,1.120447,9.911063,83.508827,77.260757
0.8495212,2.176312,9.581161,1.139611,9.891092,83.383926,77.202698
0.8520126,2.154752,9.573975,1.194708,9.885913,83.058868,77.316154
0.8545041,2.116425,9.528461,1.218663,9.836460,82.883202,77.476990
0.8569956,2.176312,9.547625,1.209080,9.866881,82.961327,77.159233
0.8594870,2.188289,9.564393,1.218663,9.886929,82.919716,77.112801
0.8619785,2.197871,9.540438,1.240222,9.868573,82.780327,77.026871
0.8644700,2.164335,9.487737,1.254595,9.812008,82.653870,77.149628
0.8669597,2.159544,9.526065,1.259386,9.848634,82.653236,77.227028
0.8694512,2.154752,9.494924,1.283341,9.820565,82.491173,77.214012
0.8719427,2.137984,9.514088,1.256991,9.832033,82.654839,77.335014
0.8744342,2.094865,9.545229,1.206685,9.846621,82.960815,77.621696
0.8769256,2.049351,9.523669,1.237826,9.819996,82.758507,77.855988
