Keuwl Accelerometer Data File
2022-10-21 18-29-09

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-1.857710,4.227219,7.894921,9.146050,30.321577,113.723755
0.0024966,-1.790636,4.301479,7.734423,9.029418,31.065224,112.601166
0.0049932,-1.857710,4.299084,7.588297,8.917144,31.681751,113.370026
0.0074899,-1.843337,4.296689,7.470918,8.813288,32.038918,113.219978
0.0099865,-1.761890,4.306271,7.420612,8.758636,32.087936,112.251686
0.0124831,-1.697212,4.299084,7.403843,8.728089,31.975168,111.543335
0.0149797,-1.663674,4.277524,7.511641,8.802828,31.425220,111.252747
0.0174764,-1.575041,4.289502,7.643394,8.905169,30.872673,110.162483
0.0199730,-1.565459,4.239196,7.882944,9.086377,29.824108,110.268280
0.0224659,-1.524735,4.191287,8.088957,9.237041,28.871038,109.990730
0.0249626,-1.551086,4.205659,8.194359,9.340286,28.680037,110.244438
0.0274592,-1.610973,4.196077,8.407558,9.533590,28.129045,111.002975
0.0299558,-1.663674,4.145772,8.697413,9.777537,27.185745,111.865311
0.0324524,-1.761890,4.150563,9.023202,10.087101,26.552036,113.000946
0.0349491,-1.850523,4.069116,9.253169,10.276346,25.784855,114.454750
0.0374457,-1.848128,4.004437,9.600517,10.565085,24.673368,114.774269
0.0399423,-1.884061,3.913409,9.840067,10.755992,23.816259,115.707893
0.0424390,-1.857710,3.808007,10.093990,10.947175,22.770365,116.005119
0.0449356,-1.836151,3.685836,10.355100,11.143828,21.686010,116.480827
0.0474322,-1.836151,3.587620,10.623396,11.362175,20.775234,117.103447
0.0499289,-1.869688,3.587620,10.774312,11.508803,20.580364,117.526260
0.0524350,-1.927179,3.654695,10.700051,11.470044,21.113409,117.803406
0.0549317,-1.927179,3.764888,10.580276,11.394325,21.789076,117.107101
0.0574283,-1.989462,3.939759,10.367077,11.267472,23.060911,116.792435
0.0599249,-2.070910,4.025997,10.055662,11.027859,24.238878,117.220573
0.0624215,-2.154752,4.136190,9.713105,10.774759,25.648243,117.517303
0.0649181,-2.243386,4.085885,9.408877,10.500200,26.354254,118.769318
0.0674148,-2.310460,4.030788,9.119021,10.234356,26.998232,119.821465
0.0699114,-2.399093,3.985274,8.812398,9.964758,27.827572,121.047501
0.0724080,-2.511682,3.860708,8.498587,9.666415,28.455555,123.047043
0.0749046,-2.585942,3.812798,8.244664,9.444523,29.195879,124.146179
0.0774012,-2.607502,3.834357,7.983554,9.232470,30.148594,124.217117
0.0798979,-2.679367,3.882267,7.748796,9.071650,31.331055,124.611694
0.0824346,-2.696135,3.872685,7.808683,9.123725,31.144499,124.845352
0.0849312,-2.674576,3.999646,7.813474,9.176105,31.624561,123.770767
0.0874279,-2.696135,4.112235,7.526014,8.990023,33.159431,123.250343
0.0899245,-2.772791,4.203264,7.336770,8.898539,34.463028,123.411865
0.0924211,-2.662598,4.267942,7.214599,8.795180,34.886158,121.958382
0.0949177,-2.588337,4.291897,7.090033,8.682652,35.256641,121.093140
0.0974144,-2.609897,4.320643,7.147525,8.750237,35.230503,121.134193
0.0999110,-2.550009,4.272734,7.238554,8.783818,34.504841,120.829170
0.1024076,-2.487726,4.205659,7.286464,8.773193,33.846031,120.605110
0.1049042,-2.466167,4.248778,7.413425,8.893423,33.531200,120.132652
0.1074008,-2.439816,4.224823,7.497268,8.944880,33.053345,120.006241
0.1098975,-2.439816,4.212846,7.566738,8.997572,32.756725,120.076736
0.1123799,-2.473353,4.253570,7.708072,9.144654,32.551868,120.177017
0.1148766,-2.418257,4.222428,7.858988,9.243406,31.763697,119.800507
0.1173732,-2.444607,4.282316,7.923667,9.332675,31.894308,119.720367
0.1198698,-2.382324,4.373344,8.084166,9.495017,31.634485,118.578781
0.1223665,-2.272131,4.366158,8.232686,9.591822,30.873465,117.492294
0.1248631,-2.142775,4.493120,8.247060,9.632943,31.115110,115.496536
0.1273597,-2.085283,4.572171,8.299761,9.702535,31.193624,114.516853
0.1298563,-1.989462,4.627267,8.311738,9.718774,31.215403,113.264961
0.1323530,-1.929575,4.658409,8.354857,9.758467,31.111322,112.499985
0.1348496,-1.828964,4.703924,8.484214,9.871874,30.747021,111.246910
0.1373462,-1.752308,4.701528,8.524938,9.891891,30.479502,110.440941
0.1398429,-1.737935,4.672782,8.570452,9.915037,30.186956,110.401543
0.1422927,-1.637324,4.684760,8.668668,9.988673,29.790277,109.264526
0.1447894,-1.560668,4.593730,8.709391,9.969530,29.120178,108.764610
0.1472860,-1.474430,4.572171,8.802815,10.028373,28.622971,107.873428
0.1497826,-1.407356,4.545821,8.905822,10.097466,28.117149,107.202179
0.1522792,-1.376215,4.500306,9.020806,10.174560,27.550423,107.003876
0.1547758,-1.321118,4.473956,9.231610,10.343319,26.808468,106.451385
0.1572725,-1.299559,4.430837,9.315453,10.397058,26.366705,106.346344
0.1597691,-1.313931,4.387718,9.507092,10.552880,25.723347,106.670685
0.1622657,-1.340282,4.390113,9.691546,10.723597,25.343351,106.977196
