Keuwl Accelerometer Data File
2022-10-21 16-24-09

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,2.401489,9.324843,-1.536162,9.750879,99.064194,75.558067
0.0024908,2.487727,9.332029,-1.648751,9.797649,99.687843,75.073250
0.0049817,2.583547,9.454200,-1.948189,9.992599,101.242569,74.715950
0.0074726,2.602711,9.499715,-2.125456,10.076520,102.176949,74.678215
0.0099635,2.535637,9.499715,-2.281163,10.093451,103.061943,75.055183
0.0124543,2.499705,9.528461,-2.288349,10.113191,103.077789,75.300224
0.0149452,2.518868,9.573975,-2.204507,10.142265,102.553932,75.259789
0.0174361,2.492518,9.573975,-2.238044,10.143100,102.747032,75.407372
0.0199270,2.533242,9.590743,-2.178157,10.155985,102.384453,75.204147
0.0223876,2.504495,9.516483,-2.154202,10.073557,102.347900,75.255547
0.0248785,2.447004,9.516483,-2.173366,10.063538,102.472115,75.579750
0.0273694,2.437422,9.502110,-2.194925,10.052303,102.612167,75.613045
0.0298603,2.387116,9.499715,-2.214089,10.042166,102.737183,75.894592
0.0323511,2.394303,9.449409,-2.135037,9.979097,102.353989,75.781570
0.0348420,2.401489,9.463782,-2.113478,9.989851,102.213936,75.761406
0.0373329,2.396698,9.478155,-2.024844,9.983966,101.701309,75.809341
0.0398238,2.367952,9.456595,-1.857159,9.923882,100.785950,75.942070
0.0423146,2.346392,9.454200,-1.658333,9.881170,99.661537,76.061661
0.0448055,2.358370,9.451804,-1.569700,9.867243,99.153610,75.989899
0.0472965,2.379930,9.456595,-1.411597,9.853115,98.236763,75.873802
0.0497873,2.355974,9.545229,-1.236725,9.909163,97.169563,76.135246
0.0522799,2.375139,9.617094,-1.109764,9.968017,96.392128,76.127243
0.0547708,2.391907,9.619490,-0.963638,9.959137,95.552582,76.036461
0.0572617,2.341602,9.693750,-0.834281,10.007393,94.782097,76.419899
0.0597525,2.346392,9.796757,-0.685760,10.097141,93.894310,76.530975
0.0622435,2.209849,9.717705,-0.589940,9.983248,93.387756,77.188560
0.0647343,2.193080,9.669795,-0.661805,9.937430,93.818565,77.221657
0.0672252,2.229013,9.662608,-0.889377,9.956179,95.125015,77.010002
0.0697161,2.135588,9.569184,-0.683365,9.828378,93.986977,77.419266
0.0722070,2.123611,9.614698,-0.506097,9.859426,92.942360,77.544975
0.0746979,2.135588,9.578766,-0.551612,9.829433,93.217041,77.431450
0.0771887,2.145170,9.540438,-0.565985,9.795001,93.312569,77.327782
0.0796796,2.164335,9.499715,-0.429442,9.752607,92.523750,77.165291
0.0821469,2.190685,9.535647,-0.328831,9.789577,91.924919,77.061584
0.0846378,2.207453,9.494924,-0.230615,9.750877,91.355209,76.911934
0.0871287,2.214640,9.475760,-0.158750,9.732412,90.934624,76.845169
0.0896195,2.224222,9.487737,-0.144377,9.746033,90.848808,76.806335
0.0921105,2.281714,9.430245,-0.125213,9.703165,90.739388,76.398293
0.0946013,2.367952,9.449409,-0.182705,9.743300,91.074463,75.931801
0.0970922,2.442213,9.425454,-0.254570,9.740041,91.497681,75.473656
0.0995831,2.535637,9.360776,-0.304875,9.702913,91.800591,74.843498
0.1020740,2.676971,9.351193,-0.424650,9.736083,92.499817,74.025139
0.1045648,2.811120,9.363171,-0.436628,9.785806,92.557304,73.288582
0.1070557,2.969223,9.329634,-0.446210,9.800891,92.609436,72.345955
0.1095466,3.088998,9.353589,-0.451001,9.860778,92.621445,71.724335
0.1120305,3.175236,9.348798,-0.506097,9.886267,92.934364,71.240402
0.1145214,3.266264,9.324843,-0.537239,9.894938,93.112366,70.695892
0.1170123,3.369271,9.315261,-0.568380,9.922153,93.283928,70.115265
0.1195031,3.481859,9.327238,-0.654619,9.977437,93.761871,69.529388
0.1219941,3.496233,9.367962,-0.680969,10.022279,93.895996,69.533836
0.1244849,3.503419,9.336821,-0.692946,9.996516,93.974861,69.432602
0.1269758,3.508210,9.322448,-0.692946,9.984776,93.979546,69.377747
0.1294667,3.453114,9.389522,-0.748043,10.032282,94.276146,69.808372
0.1319575,3.357294,9.377544,-0.906146,10.001543,95.198158,70.301910
0.1344484,3.283033,9.344007,-1.023525,9.956725,95.900284,70.640984
0.1369393,3.146489,9.367962,-1.054667,9.938382,96.091736,71.433945
0.1394302,3.062647,9.363171,-1.109764,9.913644,96.427338,71.887337
0.1419179,2.959641,9.372753,-1.207979,9.902887,97.006531,72.475410
0.1444087,2.882984,9.427850,-1.270262,9.940298,97.341850,72.996658
0.1468996,2.854239,9.403894,-1.263075,9.908343,97.323761,73.116081
0.1493905,2.777582,9.430245,-1.299008,9.916245,97.527267,73.588203
0.1518814,2.758419,9.454200,-1.277449,9.930893,97.390656,73.734528
0.1543722,2.739254,9.442223,-1.229538,9.908120,97.128441,73.822189
0.1568631,2.669785,9.418267,-1.207979,9.863606,97.034576,74.173622
0.1593540,2.636248,9.391917,-1.291821,9.840056,97.543678,74.320923
0.1618449,2.535637,9.394313,-1.246307,9.809987,97.298851,74.895126
0.1643357,2.463772,9.411081,-1.196002,9.801482,97.008842,75.329506
0.1668267,2.511682,9.435036,-1.291821,9.848718,97.537003,75.093124
0.1693175,2.569174,9.396708,-1.325359,9.831345,97.747604,74.708366
0.1718174,2.540428,9.365566,-1.375664,9.801023,98.068634,74.823593
0.1743083,2.454190,9.401499,-1.454715,9.824837,98.514816,75.369850
0.1767992,2.473354,9.384730,-1.557722,9.829402,99.118431,75.235382
0.1792900,2.655412,9.420663,-1.449924,9.894564,98.426323,74.258392
0.1817809,2.818306,9.497319,-1.471484,10.015347,98.448647,73.471878
0.1842718,2.894962,9.442223,-1.495439,9.988629,98.610359,72.954590
0.1867627,2.866216,9.346402,-1.378060,9.872663,98.023735,72.951050
0.1892536,2.899753,9.262560,-1.459507,9.814976,98.551712,72.616661
0.1917445,3.117743,9.401499,-1.358896,9.997754,97.811829,71.653343
0.1942353,3.177631,9.272142,-1.330150,9.891373,97.728302,71.083038
0.1967262,3.496233,9.425454,-1.100181,10.113023,96.245491,69.648407
0.1992171,3.491441,9.322448,-0.989989,10.003913,95.679291,69.468079
0.2017022,3.429158,9.109248,-1.325359,9.823141,97.754112,69.371254
0.2041931,3.338130,8.946354,-1.586468,9.679733,99.433098,69.538078
0.2066840,3.467486,8.960727,-1.677497,9.753568,99.903427,68.845314
0.2091748,3.786088,9.425454,-1.610423,10.284314,99.009033,68.115288
0.2116658,3.544142,9.255374,-1.641564,10.045776,99.404793,69.046753
0.2141567,3.481859,9.066129,-1.790086,9.875345,100.443634,68.990646
0.2166475,3.374062,8.910421,-2.067964,9.749686,102.245781,69.260094
0.2191384,3.259078,8.946354,-1.909860,9.711148,101.342110,69.983765
0.2216293,3.335734,9.042174,-1.943398,9.831827,101.400383,69.750557
0.2241202,3.453114,9.003846,-2.103896,9.870137,102.307465,69.017410
0.2266110,3.472277,8.927190,-2.099105,9.806002,102.360580,68.746193
0.2291019,3.438740,8.788251,-1.969748,9.640446,101.789772,68.630173
0.2315875,3.457905,8.807415,-1.945793,9.659905,101.620583,68.564384
0.2340784,3.431554,8.788251,-1.919443,9.627729,101.499893,68.670815
0.2365693,3.369271,8.795438,-1.842787,9.597269,101.070198,69.039650
0.2390601,3.053065,9.164345,-1.696661,9.807400,99.962181,71.574715
0.2415510,2.662599,9.504505,-1.502625,9.984134,98.655983,74.350281
0.2440419,2.617084,9.550020,-1.469089,10.010507,98.438904,74.674919
0.2465328,2.444608,9.420663,-1.390037,9.831439,98.128113,75.452927
