Keuwl Accelerometer Data File
2022-10-21 18-15-08

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-1.886456,4.346994,8.819584,10.011999,28.248711,113.459297
0.0024975,-1.749913,4.423650,8.548893,9.783376,29.094566,111.582817
0.0049951,-1.536713,4.562589,8.297365,9.592965,30.123833,108.613899
0.0074926,-1.325909,4.737461,8.103330,9.479742,31.261816,105.635742
0.0099902,-1.273208,4.802139,7.875757,9.311775,32.243889,104.849373
0.0124877,-1.289976,4.725483,7.698490,9.124745,32.467758,105.268753
0.0149935,-1.285185,4.610499,7.559551,8.947357,32.339630,105.575912
0.0174911,-1.230089,4.514679,7.408635,8.762609,32.276302,105.241096
0.0199886,-1.203738,4.428441,7.216994,8.552489,32.451366,105.206718
0.0224861,-1.141456,4.363762,7.092429,8.405230,32.455193,104.658768
0.0249837,-1.040844,4.291897,7.013377,8.288015,32.198505,103.631844
0.0274812,-0.923465,4.339808,6.917557,8.218230,32.676407,102.012764
0.0299788,-0.882742,4.373344,6.881625,8.201349,32.956436,101.411591
0.0324763,-0.851600,4.493120,6.862461,8.246618,33.679302,100.732208
0.0349739,-0.765362,4.675178,6.922348,8.388205,34.386368,99.297279
0.0374714,-0.830041,4.754229,7.010982,8.511494,34.542328,99.903450
0.0399689,-0.789317,4.871609,7.202621,8.731172,34.418415,99.203308
0.0424665,-0.813272,4.888377,7.408635,8.913221,33.778198,99.445702
0.0449812,-1.019285,4.715901,7.755982,9.134216,31.884676,102.196182
0.0474788,-1.055218,4.653618,8.168008,9.459703,30.293491,102.775894
0.0499763,-1.074381,4.588940,8.453073,9.678177,29.141966,103.176987
0.0524739,-1.021680,4.531447,8.829166,9.976574,27.749735,102.705711
0.0549714,-1.055218,4.473956,9.339408,10.409337,26.205696,103.271118
0.0574689,-1.158224,4.409277,9.772993,10.783998,25.007891,104.717896
0.0599665,-1.225298,4.358972,10.122736,11.089264,24.099031,105.700562
0.0624640,-1.258835,4.356576,10.455710,11.396767,23.447109,106.116676
